"","sequence","NI_annotation","EggNOG_annotation"
"1","isogroup10","isogroup10|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"5610","isogroup30422","isogroup30422|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"5611","isogroup30423","isogroup30423|plum1 kME=0.57|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.","Inherit from KOG: frizzled family receptor"
"5612","isogroup30424","isogroup30424|darkred kME=0.54|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","synapsin"
"5613","isogroup30427","isogroup30427|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","tectonin beta-propeller repeat containing 2"
"5614","isogroup30429","isogroup30429|blue kME=0.36|Associations:(R2=+0.49) response latency.","enoyl-CoA delta isomerase 2"
"5615","isogroup30432","isogroup30432|lightcyan1 kME=0.42|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.","myeloid differentiation primary response"
"5616","isogroup30435","isogroup30435|darkorange kME=0.52|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"5617","isogroup30439","isogroup30439|brown kME=0.7|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"5618","isogroup30442","isogroup30442|plum1 kME=0.62|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.","Platelet-derived growth factor receptor-like"
"5619","isogroup30446","isogroup30446|darkgreen kME=0.45|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","mitochondrial translational initiation factor 3"
"5620","isogroup30448","isogroup30448|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Sodium/calcium exchanger protein"
"5621","isogroup30453","isogroup30453|darkorange kME=0.38|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"5622","isogroup30454","isogroup30454|greenyellow kME=0.46|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","eukaryotic translation initiation factor 2, subunit 3 gamma"
"5623","isogroup30455","isogroup30455|greenyellow kME=0.73|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","poly(A) binding protein, cytoplasmic 4 (inducible form)"
"5624","isogroup30456","isogroup30456|greenyellow kME=0.3|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","FBG"
"5625","isogroup30458","isogroup30458|darkgreen kME=0.47|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"5626","isogroup30463","isogroup30463|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5627","isogroup30464","isogroup30464|darkgrey kME=0.57|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"5628","isogroup30466","isogroup30466|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5629","isogroup30467","isogroup30467|brown kME=0.36|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","eukaryotic translation initiation factor 4E family member 3"
"5630","isogroup30476","isogroup30476|darkorange kME=0.53|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","latrophilin 1"
"5631","isogroup30483","isogroup30483|blue kME=0.63|Associations:(R2=+0.49) response latency.","hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (trifunctional protein), alpha subunit"
"5632","isogroup30485","isogroup30485|brown kME=0.53|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","B-cell receptor-associated protein 29"
"5633","isogroup30490","isogroup30490|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5634","isogroup30493","isogroup30493|brown kME=0.32|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Autophagy-related protein 3"
"5635","isogroup30495","isogroup30495|darkred kME=0.41|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5636","isogroup30496","isogroup30496|midnightblue kME=0.44|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"5637","isogroup30501","isogroup30501|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","ubiquitin-like modifier activating enzyme 3"
"5638","isogroup30502","isogroup30502|skyblue kME=0.4|Associations:(R2=-0.38) response duration to acoustic stimulus.","DET1 and DDB1 associated 1"
"5639","isogroup30503","isogroup30503|brown kME=0.29|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","transmembrane and coiled-coil domains 7"
"5640","isogroup30504","isogroup30504|darkred kME=0.28|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","RAB5B, member RAS oncogene family"
"5641","isogroup30508","isogroup30508|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","formin 2"
"5642","isogroup30509","isogroup30509|red kME=0.28|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","mitochondrial ribosomal protein L13"
"5643","isogroup30511","isogroup30511|red kME=0.57|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"5644","isogroup30513","isogroup30513|blue kME=0.36|Associations:(R2=+0.49) response latency.",NA
"5645","isogroup30514","isogroup30514|skyblue kME=0.5|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"5646","isogroup30521","isogroup30521|blue kME=0.69|Associations:(R2=+0.49) response latency.",NA
"5647","isogroup30522","isogroup30522|midnightblue kME=0.43|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"5648","isogroup30526","isogroup30526|darkgreen kME=0.42|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)"
"5649","isogroup30527","isogroup30527|skyblue kME=0.44|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"5650","isogroup30528","isogroup30528|red kME=0.74|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","The glycine cleavage system catalyzes the degradation of glycine (By similarity)"
"5651","isogroup30529","isogroup30529|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5652","isogroup30530","isogroup30530|brown kME=0.34|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","transmembrane protein 106A"
"5653","isogroup30535","isogroup30535|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.","deoxynucleotidyltransferase, terminal, interacting protein 2"
"5654","isogroup30536","isogroup30536|midnightblue kME=0.42|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"5655","isogroup30542","isogroup30542|blue kME=0.45|Associations:(R2=+0.49) response latency.","mesothelin-like"
"5656","isogroup30551","isogroup30551|red kME=0.28|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)"
"5657","isogroup30554","isogroup30554|greenyellow kME=0.45|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Immunoglobulin domain"
"5658","isogroup30556","isogroup30556|darkorange kME=0.35|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"5659","isogroup30560","isogroup30560|blue kME=0.49|Associations:(R2=+0.49) response latency.",NA
"5660","isogroup30567","isogroup30567|green kME=0.4|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","abhydrolase domain containing 16B"
"5661","isogroup30571","isogroup30571|brown kME=0.45|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","SOUL heme-binding protein"
"5662","isogroup30575","isogroup30575|brown kME=0.4|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"5663","isogroup30579","isogroup30579|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5664","isogroup30580","isogroup30580|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","glutamine-rich 1"
"5665","isogroup30581","isogroup30581|brown kME=0.37|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","TBC1 domain family, member 9B (with GRAM domain)"
"5666","isogroup30582","isogroup30582|skyblue kME=0.41|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"5667","isogroup30583","isogroup30583|black kME=0.36|Associations:(R2=+0.29) mean speed in response to visual stimulus.","ribosomal RNA processing 36 homolog (S. cerevisiae)"
"5668","isogroup30584","isogroup30584|skyblue kME=0.38|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"5669","isogroup30585","isogroup30585|greenyellow kME=0.43|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","SAR"
"5670","isogroup30587","isogroup30587|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","dopey family member 2"
"5671","isogroup30589","isogroup30589|darkorange kME=0.29|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"5672","isogroup30590","isogroup30590|brown kME=0.68|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Visual pigments are the light-absorbing molecules that mediate vision. They consist of an apoprotein, opsin, covalently linked to cis-retinal"
"5673","isogroup30592","isogroup30592|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","vacuolar protein sorting 4 homolog B (S. cerevisiae)"
"5674","isogroup30599","isogroup30599|midnightblue kME=0.38|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"5675","isogroup30600","isogroup30600|greenyellow kME=0.33|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Ubiquitin-conjugating enzyme"
"5676","isogroup30605","isogroup30605|darkorange kME=0.37|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","HERPUD family member 2"
